PedestrianID,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,Timestamp
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.173349
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.20654
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.236625
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.261621
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.327194
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.660528
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.757366
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.805994
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.85469
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.882625
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.911754
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.93687
PABiped (2),-78.2,2.493234,-29.4,0,0,0,5.97727
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.021612
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.067312
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.099202
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.128017
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.162081
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.190304
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.21431
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.240909
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.267301
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.2942
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.324193
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.355976
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.39373
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.424893
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.453325
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.479903
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.506992
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.533939
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.568017
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.598151
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.6272
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.658714
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.687446
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.715904
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.742247
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.772435
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.801588
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.833733
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.862917
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.892747
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.929532
PABiped (2),-78.2,2.493234,-29.4,0,0,0,6.984931
PABiped (2),-78.2,2.493234,-29.4,0,0,0,7.016224
